epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,158.321,0.60552,1.00455,1.10996,0.95783,0,0.8066,0.82177,0.90659,0.76603,0.80475,0.81959,0.90361,0.70096,0.55279,1.15864,0.66778,0.9436,0,0.000332489,0.000332489,0.0670835
2,314.654,0.5864,0.93986,0.64884,0.94227,0,0.89598,0.92022,0.96059,0.82875,0.8969,0.91994,0.96054,0.82064,0.512,0.76665,0.51029,0.92311,0,0.000659231,0.000659231,0.034077
3,470.543,0.58863,0.94433,0.58282,0.93988,0,0.92819,0.93305,0.97273,0.8517,0.92821,0.93307,0.9722,0.84002,0.48107,0.70778,0.40008,0.91193,0,0.000979373,0.000979373,0.00106376
4,624.775,0.56557,0.90403,0.51591,0.93032,0,0.9285,0.93895,0.97272,0.84924,0.92853,0.93898,0.97252,0.83802,0.49107,0.72304,0.35014,0.91488,0,0.0009703,0.0009703,0.0009703
5,778.965,0.55048,0.87368,0.48022,0.92253,0,0.969,0.97647,0.98527,0.87139,0.96899,0.97646,0.98529,0.85356,0.4627,0.68015,0.28693,0.89881,0,0.0009604,0.0009604,0.0009604
6,933.236,0.54157,0.85842,0.44935,0.91843,0,0.92905,0.92374,0.96972,0.85805,0.929,0.92369,0.96972,0.84254,0.45948,0.68911,0.35138,0.89272,0,0.0009505,0.0009505,0.0009505
7,1086.89,0.52848,0.84303,0.42736,0.91463,0,0.96109,0.97006,0.98007,0.87471,0.96105,0.97003,0.98009,0.857,0.45213,0.67114,0.28406,0.89009,0,0.0009406,0.0009406,0.0009406
8,1240.7,0.52973,0.84079,0.41592,0.91315,0,0.97627,0.98229,0.9845,0.88199,0.97663,0.98218,0.9854,0.86376,0.44708,0.66345,0.25961,0.88881,0,0.0009307,0.0009307,0.0009307
9,1394.41,0.5164,0.81939,0.39444,0.90889,0,0.9639,0.9756,0.98599,0.88346,0.96394,0.97564,0.98603,0.8666,0.43264,0.64245,0.26398,0.88024,0,0.0009208,0.0009208,0.0009208
10,1548.47,0.5076,0.80118,0.37158,0.90441,0,0.96055,0.96857,0.98125,0.88232,0.96058,0.9686,0.98125,0.85737,0.42405,0.66281,0.26934,0.88431,0,0.0009109,0.0009109,0.0009109
11,1701.61,0.50997,0.80339,0.38224,0.90737,0,0.98011,0.98504,0.98564,0.88792,0.98015,0.98508,0.98565,0.86709,0.42445,0.63711,0.24053,0.88051,0,0.000901,0.000901,0.000901
12,1855.92,0.50551,0.79897,0.36759,0.90614,0,0.98078,0.98361,0.98471,0.88464,0.98086,0.98368,0.98502,0.86282,0.43429,0.64427,0.24228,0.88415,0,0.0008911,0.0008911,0.0008911
13,2010.18,0.50199,0.79941,0.36062,0.90315,0,0.98243,0.98261,0.9834,0.88642,0.98245,0.98273,0.98343,0.8637,0.42562,0.64565,0.23259,0.88066,0,0.0008812,0.0008812,0.0008812
14,2164.32,0.50263,0.80462,0.35762,0.90371,0,0.98285,0.98173,0.98257,0.89056,0.98286,0.98174,0.9824,0.86611,0.41255,0.63269,0.22569,0.87471,0,0.0008713,0.0008713,0.0008713
15,2317.84,0.49712,0.79561,0.36081,0.90124,0,0.97897,0.98481,0.98596,0.89339,0.97899,0.98483,0.98597,0.87325,0.41301,0.62578,0.226,0.87122,0,0.0008614,0.0008614,0.0008614
16,2472.01,0.49132,0.77281,0.34481,0.89936,0,0.98708,0.98518,0.98511,0.89418,0.98706,0.98516,0.98512,0.86898,0.4138,0.63277,0.22411,0.87393,0,0.0008515,0.0008515,0.0008515
17,2626.57,0.49062,0.77308,0.34202,0.90054,0,0.98587,0.98394,0.98564,0.89547,0.98588,0.98394,0.98565,0.86849,0.4129,0.63084,0.21881,0.87474,0,0.0008416,0.0008416,0.0008416
18,2781.02,0.48849,0.77234,0.33694,0.89838,0,0.98584,0.988,0.98589,0.89506,0.98588,0.98804,0.98592,0.86839,0.41331,0.63821,0.21689,0.87518,0,0.0008317,0.0008317,0.0008317
19,2935.53,0.48699,0.76746,0.3335,0.89885,0,0.98444,0.98663,0.98593,0.89629,0.98442,0.98669,0.98594,0.87134,0.41522,0.6243,0.21816,0.87224,0,0.0008218,0.0008218,0.0008218
20,3090.43,0.48185,0.77061,0.33491,0.89719,0,0.98855,0.98473,0.98593,0.89691,0.9887,0.98502,0.98596,0.87338,0.40557,0.62023,0.21474,0.86938,0,0.0008119,0.0008119,0.0008119
21,3244.75,0.47812,0.75698,0.32423,0.89316,0,0.98833,0.98844,0.98777,0.89628,0.98828,0.98846,0.98778,0.87082,0.41034,0.62447,0.2103,0.87137,0,0.000802,0.000802,0.000802
22,3399.44,0.48012,0.76023,0.3274,0.89441,0,0.98903,0.98647,0.98561,0.89664,0.98901,0.98646,0.98562,0.86919,0.40692,0.62409,0.20781,0.86992,0,0.0007921,0.0007921,0.0007921
23,3554.67,0.47933,0.76106,0.31787,0.8936,0,0.98721,0.9885,0.98333,0.89467,0.98727,0.98856,0.98332,0.87124,0.40692,0.61921,0.20928,0.86963,0,0.0007822,0.0007822,0.0007822
24,3711.67,0.47342,0.7503,0.31863,0.895,0,0.98806,0.98788,0.98658,0.89861,0.98791,0.98804,0.98657,0.87335,0.41035,0.6209,0.20595,0.86959,0,0.0007723,0.0007723,0.0007723
25,3867.71,0.47795,0.7631,0.31742,0.89324,0,0.98733,0.98841,0.98618,0.8979,0.98738,0.98846,0.98619,0.87099,0.41074,0.62569,0.20785,0.87297,0,0.0007624,0.0007624,0.0007624
26,4023.54,0.46894,0.74468,0.30819,0.89189,0,0.98959,0.98622,0.98683,0.89775,0.98958,0.98621,0.98683,0.87511,0.40915,0.61216,0.20516,0.87102,0,0.0007525,0.0007525,0.0007525
27,4179.62,0.47626,0.75485,0.31319,0.89405,0,0.98353,0.98954,0.98653,0.90085,0.98351,0.98951,0.98649,0.87327,0.40303,0.61711,0.20239,0.86941,0,0.0007426,0.0007426,0.0007426
28,4335.61,0.47022,0.74408,0.30957,0.89039,0,0.99039,0.98931,0.9867,0.90392,0.99041,0.98933,0.98671,0.87409,0.39805,0.61444,0.1992,0.86823,0,0.0007327,0.0007327,0.0007327
29,4491.71,0.46871,0.74706,0.30605,0.89309,0,0.9889,0.98879,0.9864,0.90138,0.98892,0.98881,0.98641,0.87399,0.40024,0.61584,0.19652,0.86833,0,0.0007228,0.0007228,0.0007228
30,4646.37,0.46498,0.73819,0.29674,0.88983,0,0.98995,0.98713,0.98637,0.90092,0.98996,0.98719,0.98638,0.87398,0.4014,0.61205,0.19798,0.86826,0,0.0007129,0.0007129,0.0007129
31,4800.69,0.46158,0.73289,0.29703,0.88701,0,0.98987,0.98641,0.98595,0.89784,0.98987,0.9864,0.98596,0.87129,0.40379,0.62733,0.19815,0.87044,0,0.000703,0.000703,0.000703
32,4955.27,0.46149,0.73543,0.29482,0.88811,0,0.99097,0.98978,0.9872,0.90377,0.99058,0.98948,0.98693,0.87636,0.3985,0.6076,0.19696,0.86758,0,0.0006931,0.0006931,0.0006931
33,5110.15,0.4595,0.72697,0.29269,0.88517,0,0.99038,0.98968,0.98638,0.90191,0.99043,0.98979,0.98639,0.87602,0.40229,0.61239,0.19378,0.86874,0,0.0006832,0.0006832,0.0006832
34,5264.24,0.46012,0.73693,0.29005,0.88695,0,0.9878,0.98974,0.98648,0.90332,0.98783,0.9898,0.98649,0.87623,0.39885,0.61023,0.19152,0.86716,0,0.0006733,0.0006733,0.0006733
35,5418.9,0.4541,0.73329,0.29132,0.88493,0,0.99195,0.99069,0.98673,0.9058,0.992,0.99076,0.98674,0.87718,0.39304,0.60508,0.19024,0.86599,0,0.0006634,0.0006634,0.0006634
36,5573.34,0.45442,0.73405,0.29235,0.88622,0,0.99226,0.98798,0.98634,0.90291,0.99227,0.98805,0.98635,0.87705,0.39343,0.60161,0.18857,0.86763,0,0.0006535,0.0006535,0.0006535
37,5727.96,0.45769,0.72961,0.28634,0.88674,0,0.99178,0.98775,0.98661,0.90478,0.99185,0.98782,0.98664,0.87683,0.39602,0.60939,0.18909,0.8674,0,0.0006436,0.0006436,0.0006436
